run_id,task,source_task,model_key,architecture,dataset,hparams_json
task2:615,task2,task2_v1,615,nin,svhn,"{""bs"":1024,""depth"":6,""dropout_p"":0.5,""weight_decay"":0.0}"
task2:621,task2,task2_v1,621,nin,svhn,"{""bs"":32,""depth"":6,""dropout_p"":0.5,""weight_decay"":0.0}"
task2:623,task2,task2_v1,623,nin,svhn,"{""bs"":32,""depth"":6,""dropout_p"":0.0,""weight_decay"":0.0}"
task2:624,task2,task2_v1,624,nin,svhn,"{""bs"":512,""depth"":6,""dropout_p"":0.25,""weight_decay"":0.001}"
task2:625,task2,task2_v1,625,nin,svhn,"{""bs"":512,""depth"":6,""dropout_p"":0.25,""weight_decay"":0.0}"
task2:627,task2,task2_v1,627,nin,svhn,"{""bs"":512,""depth"":6,""dropout_p"":0.5,""weight_decay"":0.0}"
task2:629,task2,task2_v1,629,nin,svhn,"{""bs"":512,""depth"":6,""dropout_p"":0.0,""weight_decay"":0.0}"
task2:998,task2,task2_v1,998,nin,svhn,"{""bs"":1024,""depth"":9,""dropout_p"":0.0,""weight_decay"":0.001}"
task2:1000,task2,task2_v1,1000,nin,svhn,"{""bs"":32,""depth"":9,""dropout_p"":0.25,""weight_decay"":0.001}"
task2:1005,task2,task2_v1,1005,nin,svhn,"{""bs"":32,""depth"":9,""dropout_p"":0.0,""weight_decay"":0.0}"
task2:1007,task2,task2_v1,1007,nin,svhn,"{""bs"":512,""depth"":9,""dropout_p"":0.25,""weight_decay"":0.0}"
task2:1009,task2,task2_v1,1009,nin,svhn,"{""bs"":512,""depth"":9,""dropout_p"":0.5,""weight_decay"":0.0}"
task2:1010,task2,task2_v1,1010,nin,svhn,"{""bs"":512,""depth"":9,""dropout_p"":0.0,""weight_decay"":0.001}"
